News_title,Sentiment(MaxEntropy),Sentiment(VADER),Sentiment(SparkNLP)
COVID-19 still the nemesis of economic growth in 2021,0,1,1
"Declaration of unplanned holiday in Federal Territories on Dec 3 irresponsible, socially and economically disruptive - Ong Kian Ming",0,0,1
"Declaration of unplanned holiday in Federal Territories on Dec 3 irresponsible, socially and economically disruptive - Ong Kian Ming",0,0,1
"ReDI to prepare petty traders, small businesses for digitalisation wave",0,0,1
A colour blind budget,0,0,0
"The Week Ahead: Market reaction to Melaka state polls outcome, 3Q earnings and October inflation",0,2,1
"Weaker investment in capital stock a concern, says DoSM",0,0,0
The Malaysian Census 2020 population profile is the basis of the MSPR,0,2,1
Private tertiary institutions cry for tax-free status under Budget 2022,0,0,0
Malaysian plantation stocks: A cyclical sector but not cyclical profits,0,0,0
MIDF Research expects PPI inflation to remain high in the near term,0,2,1
Tourism sector employment decreased,0,2,1
Tourism sector employment decreased by 3.5 million last year,0,2,1
The government must reduce interest rate for bank loans in the tourism and hospitality sector adversely affected by the COVID-19 pandemic that lost RM130 billion in 2020,0,0,1
The tourism and hospitality sector needs help,0,1,1
"In 2020, tourism performance of Malaysia dropped 71.2 percent",0,2,1
Tourism receipts drop 71.2 percent to rm52.4 billion last year,0,0,1
Tourism receipts dropped 71.2pc to RM52.4 billion last year,0,2,0
Tourism receipts drop 71.2 pct to RM52.4 bln last year - DOSM,0,0,1
Tourism receipts drop 71.2 percent to RM52.4 billion last year - Chief Statistician,0,0,1
Tourism receipts drop 71.2 pct to RM52.4 billion last year - Chief Statistician,0,0,1
"Stats Dept: Covid-19 pandemic slashed Malaysia's 2020 tourist arrivals by 83.4pc, worst drop in history",0,0,0
"Stats Dept: Covid-19 pandemic slashed Malaysia's 2020 tourist arrivals by 83.4 pct, worst drop in history",0,0,0
"Stats Dept: Covid-19 pandemic slashed Malaysia's 2020 tourist arrivals by 83.4pc, worst drop in history",0,0,0
"Stats Dept: Covid-19 pandemic slashed Malaysia's 2020 tourist arrivals by 83.4pc, worst drop in history",0,0,0
"ECONOMIC DISASTER - ANOTHER 'WORST IN HISTORY' - AND THE BUCK STOPS WITH ISMAIL SABRI - EVEN IF IT WAS MUHYIDDIN WHO TRIGGERED IT - TOURISM, ONE OF COUNTRY'S KEY SECTORS, TAKES A MASSIVE BEATING - AS TOURIST ARRIVALS PLUNGE BY 83",0,0,0
New Administration Has Window To Reconfigure Stagnant FDI,0,2,1
Economic recovery may be derailed by Covid surge - stats department,0,0,1
Malaysia's economic recovery momentum may be derailed by COVID-19 surge,0,0,1
Malaysia's economic recovery momentum may be derailed by Covid-19 surge,0,0,1
Malaysia's economic recovery momentum may be derailed by Covid-19 surge - DOSM,0,0,1
DOSM: Malaysia's economic recovery momentum may be derailed by Covid-19 surge,0,0,1
Malaysia's economic recovery momentum may be derailed by Covid-19 surge,0,0,1
Malaysia's economic recovery momentum may be derailed by Covid-19 surge - DOSM,0,0,1
DOSM: Malaysia's economic recovery momentum may be derailed by Covid-19 surge,0,0,1
Malaysia's economic recovery momentum may be derailed by COVID-19 surge - DOSM,0,0,1
Federal Government Urged To Initiate Surge Capacity For Sabah ASAP,0,2,1
Take a pay cut to avoid layoffs,0,0,0
Selangor records highest increase in scheduled waste,0,0,1
Firms not allowed to operate tend to cut wages,0,0,0
"Fitch unit warns of stagnant economy for rest of 2021, cuts Malaysia's GDP growth forecast to zero",0,2,0
"Fitch unit warns of stagnant economy for rest of 2021, cuts Malaysia's GDP growth forecast to zero",0,2,0
"Fitch unit warns of stagnant economy for rest of 2021, cuts Malaysia's GDP growth forecast to zero",0,2,0
"Fitch unit warns of stagnant economy for rest of 2021, cuts Malaysia's GDP growth forecast to zero",0,2,0
Better 2Q 2021 envisaged even as growth slowed to a 4-month low in June,0,1,1
Better 2Q 2021 envisaged even as growth slowed to a 4-month low in June,0,1,1
Lockdown pushes unemployment to 4-month high in June,0,0,1
Tackle rising youth unemployment,0,0,1
THE PROBLEM IS MUHYIDDIN REGIME IS JUST TOO STUPID - ITS ONE-SIZE-FITS-ALL MCOs ARE PUSHING BUSINESSES INTO DEEP COLLAPSE - WHILE GIVING VACCINATED INDIVIDUALS FREEDOM BEFORE IT'S SAFE - ALL IN THE GAME OF WINNING THE 'HEARTS & MINDS' OF THE PEOPLE - YET ACTUALLY CONDEMNING THEM TO A TERRIBLE & HORRIFIC SLOW DEATH,0,0,0
Tackle rising youth unemployment,0,0,1
Graduate unemployment (and under-employment) - part of our structural growth challenge,0,2,1
Graduate unemployment (and under-employment) - part of our structural growth challenge - Rais Hussin and Jason Loh,0,2,1
Graduate unemployment (and under-employment) part of our structural growth challenge,0,2,1
"DPMM called for a political truce, focus on the people's problems",0,0,1
"Put aside political differences, focus on COVID-19 and the economic level of the people, urges DPMM",0,2,1
The impact of Covid-19 on Malaysia's absolute poverty rate,0,0,1
"The PN government is slow to give aid to SMEs: 65,000 lost their jobs - JUSTICE",0,1,1
65k in the SME sector lost their jobs due to the slowdown of the PN government,0,0,0
"Malaysia cannot recover from the economic recession it is currently facing when Mahiaddin Md Yassin insists on protecting his own political interests, so he is willing to trigger a constitutional crisis by deceiving the Yang DiPertuan Agong and opposing the constitutional monarch",0,0,1
"Malaysia cannot recover from the current economic recession when a stubborn Mahiaddin Md Yassin serving his own selfish political interests, is willing to spark off a constitutional crisis by deceiving the King and confronting the constitutional monarchy",0,0,1
The fate of graduates is increasingly worrying during the pandemic,0,0,0
MSMEs suffer RM40.7 billion losses from 2020 lockdown,0,0,0
Medac: RM40.7b losses in 2020 were biggest ever for MSME sector,0,0,0
Medac: RM40.7b losses last year were the biggest losses in the MSME sector so far,0,0,2
Malaysia suffered RM40.7 bil losses from MSME sector in 2020,0,0,0
Medac: RM40.7b losses in 2020 were biggest ever for MSME sector,0,0,0
RM40.7b losses last year biggest for MSME sector so far — MEDAC,0,0,1
Medac: RM40.7b losses last year were the biggest losses in the MSME sector so far,0,0,2
RM40.7 bln losses last year were the biggest losses in the SMSE sector so far -- MEDAC,0,0,1
The statistical drop in the median salary of graduates is even more worrying - Faiz,0,0,0
MSME incurs RM40.7bil losses in 2020: Medac,0,0,1
"MSME sector suffered RM40.7b losses in 2020, 49% at risk of collapse by Oct 2021",0,0,0
MSME RM40.7 billion losses last year - biggest ever,0,0,0
The highest GDP of SMEs declined at a rate of 7.3% - Department of Statistics,0,2,1
"Malaysian SMEs' GDP shrank 7.3% in 2020, more than overall economy's contraction of 5.6",0,2,1
The company's gross operating surplus fell 6.9 percent in 2020,0,0,0
Enterprise gross operating surplus down 6.9 percent in 2020 - Statistics,0,0,1
Statistics Dept: Malaysia's gross operating surplus dropped 6.9pc in 2020,0,0,1
Statistics Dept: Malaysia's gross fixed capital formation shrunk 14.5pc to RM281.1b in 2020,0,0,2
PMTK contracts declined 14.5 percent to RM281.1 billion in 2020 -- Statistics,0,2,0
Breaking News : 49% Of The Malaysia SME Sector Could Collapse By October 2021 & 7.3 Millions Malaysian Will Lose Their Job,0,0,1
Unemployment in THE New Norm: Challenging Futures for Malaysian Youth,0,0,1
Mental health is critical and needs to be addressed,0,0,0
Mental health is critical and needs to be addressed,0,0,0
Mental health is critical and need to be addressed during trying times,0,0,0
"Address mental health issues now, people on edge",0,2,0
Mental Health Is Critical And Need To Be Addressed During Trying Times,0,0,0
"Incorporate suicide prevention in MCO plans, govt urged",0,0,1
"From white flag to suicide – another aid package that may be too little, too late",0,0,0
"From White Flag To Suicide – Another Dubious RM150 Billion Aid Package That May Be Too Little, Too Late",0,0,0
All countries including WP recorded negative growth,0,1,1
"In Port Dickson, clerk loses over RM700,000 in investment scam",0,0,0
The Week Ahead: Major APAC central bank policy decisions and inflation data in the spotlight,0,2,1
"Covid-19 exit plan, tipping into recession",0,0,1
"Covid-19 exit plan, tipping into recession",0,0,1
A look at the Covid-19 exit plan - Paolo Casadio and Geoffrey Williams,0,2,1
A look at the Covid-19 exit plan - Paolo Casadio and Geoffrey Williams,0,2,1
Covid-19 exit plan - tipping into a recession,0,0,1
Covid-19 exit plan - tipping into a recession,0,0,1
Malaysia's trade deficit in services hit a record of RM47.4 billion in 2020,0,0,1
Stats Dept: Malaysia's trade deficit in services hit record RM47.4b in 2020,0,0,1
"The Week Ahead: April unemployment, G7 meeting and Euro 2020 in focus",0,0,1
"Baby births declined in the first quarter of the year, the Department of Statistics said",0,2,0
"My Journey with AKPK, the Savior of the Financially Distressed",0,0,0
MCO 3.0 not expected to have significant impact on economic growth,0,1,1
MCO 3.0 not expected to have significant impact on economic growth,0,1,1
Finance minister: MCO 3.0 not expected to have significant impact on Malaysia's economic growth,0,1,1
Finance minister: MCO 3.0 not expected to have significant impact on Malaysia's economic growth,0,1,1
MCO 3.0 not expected to have significant impact on economic growth,0,1,1
"The issue of low wages for graduates needs an assessment, a holistic solution",0,1,0
"Most countries face financial problems, fiscal deficits: Mustapa",0,0,0
"Most countries face financial problems, fiscal deficits, says Mustapa",0,0,0
"Most countries face financial problems, fiscal deficits - Mustapa",0,0,0
"Addressing joblessness, suicide",0,0,0
The mismatch between wages and cost of living in Malaysia,0,2,1
The Week Ahead: Attention centred on February inflation rate,0,2,1
Cover Story: More jobs at stake as borders remain closed,0,2,0
Combating fake news a major challenge for ministry,0,0,0
A difficult year for the finance ministry,0,0,1
"The country's finances are getting worse, a difficult year for the Minister of Finance",0,0,0
Covid-19: A difficult year for the finance ministry,0,0,0
A difficult year for the finance ministry,0,0,1
Digitalising SMEs inevitable but cybersecurity boost needed too,0,1,1
"Unregistered SMEs left out of govt aid, says trade group",0,2,0
"Micro SMEs from informal sector left out of govt aid, says group",0,2,1
Industries Unite: Unregistered SMEs being left out of govt aid,0,2,1
"Micro SMEs from informal sector left out of govt aid, says group",0,2,1
Industries Unite: Unregistered SMEs being left out of govt aid,0,2,1
Industries Unite: Unregistered SMEs being left out of government aid,0,2,1
"Unregistered SMEs drop out of government aid, says the association",0,0,0
Unregistered SMEs drop out of government aid - Industries Unite,0,0,1
Industries unite: Unregistered SMEs being left out of govt aid,0,2,1
Unregistered micro SMEs being left out of government aid - Industries Unite,0,2,1
Industries Unite: Unregistered SMEs being left out of govt aid | Money,0,2,1
Stats Dept urges businesses to pursue digitalisation even with rollout of vaccine programme,0,2,1
Businesses urged to pursue digitalisation even with rollout of vaccination programme,0,2,0
"Malaysia's Jan CPI records lowest deflation since March last year, falling by 0.2% y-o-y",0,0,1
Various phases of MCO affected worker productivity last year,0,0,1
Labour productivity declines in fourth quarter 2020 during CMCO - DoSM,0,2,0
Malaysia's FDI decline not unusual under prevailing circumstances,0,2,1
Govt told to be 'honest' amid concerns economic damage downplayed,0,0,0
Govt told to be 'honest' amid concerns economic damage downplayed,0,0,0
"Malaysia's 2020 GDP shrunk 5.6pc, biggest fall since 1998 Asian Financial Crisis",0,0,0
"Malaysia's 2020 GDP shrunk 5.6pc, biggest fall since 1998 Asian Financial Crisis",0,0,0
Malaysian economy shrank 5.6 pct in 2020,0,2,1
Malaysian economy shrank 5.6 pct in 2020,0,2,1
"Malaysia's GDP in 2020 dropped 5.6pc, biggest fall since 1998 Asian Financial Crisis",0,0,0
"Malaysia's GDP in 2020 dropped 5.6pc, biggest fall since 1998 Asian Financial Crisis",0,0,0
Movement restrictions weigh on private consumption,0,2,0
More people are unemployed for longer periods,0,2,0
Rising unemployment reveals the weakness of the PN government,0,0,0
More people are unemployed for longer periods,0,2,0
PKP2.0: The tourism industry and SMEs are most directly affected,0,0,1
"Tourism, SMEs bear the burden of MCO 2.0",0,0,1
"Tourism, SMEs bear the burden of MCO 2.0",0,0,1
Bad loans in the housing sector - ticking time-bomb,0,0,0
The Cost of MCO 2.0 : Malaysia Loses RM2.4 Billion A Day Throughout MCO - 40% of The Country SMEs Will Be Gone - The Coverage,0,0,0
"Study, Many Companies Will Close If The MCO Is More Than Two Months",0,2,1
"MUHYIDDIN PUSHES MALAYSIA INTO THE HELLFIRES OF ECONOMIC CHAOS & DEATH - ALREADY BUSINESSES WARN OF SLUGGISH GROWTH, JOB LOSSES IF MCO PROLONGED - YET MUHYIDDIN IMPOSES EMERGENCY RULE UNTIL AUGUST 1",0,0,1
Many companies will close if the MCO is more than two months,0,2,1
October's positive key indicators signals economic recovery,1,1,1
October's positive key indicators signals economic recovery,1,1,1
APPROVAL SEVEN TO 14 DAYS,1,1,1
"Unemployment is low, but the pressures of life drive a skills mismatch",1,0,0
Power sector boosted by better demand for electricity,1,1,1
Power sector boosted by better demand for electricity,1,1,1
E-commerce continues to flourish in 2021,1,2,1
E-commerce continues to flourish in 2021,1,2,1
E-commerce continues to flourish in 2021,1,2,1
An influx of aid for SMEs to continue their survival as they move into the Endemic Phase,1,2,1
Abundance of aid for SMEs to remain resilient as Malaysia moves towards Endemic Phase,1,2,1
"Malaysia achieved good performance for Sustainable Development Goals in 2020 despite Covid-19, says Mustapa",1,1,1
"Sustainable development goals: Despite Covid-19, Malaysia achieved good performance in 2020, says Tok Pa",1,1,1
"Sustainable development goals: Despite Covid-19, Malaysia achieved good performance in 2020, says Tok Pa",1,1,1
Malaysia achieves good performance for SDGs in 2020 despite COVID-19 -- Mustapa,1,1,1
M'sia achieves good performance for SDGs in 2020 despite Covid-19,1,1,1
Positive growth for ICT industry despite Covid-19 (Bername),1,1,1
DOSM launches initiative as reference on current economic situation,1,2,1
DoSM launches initiative as reference on current economic situation,1,2,1
DOSM launches initiative as reference on current economic situation,1,2,1
DOSM launches initiative as reference for current economic situation,1,2,1
"RM33 million to stimulate the retail industry is the right step, experts say",1,1,1
Tengku Zafrul defends budget 2022; it's for 'Malaysian Family',1,2,0
Malaysia's main economic indicators show encouraging recovery momentum,1,1,1
Key indicators show promising recovery momentum in Q4 and into 2022 - DOSM,1,1,1
Malaysia's main economic indicators show encouraging recovery momentum,1,1,1
"Key indicators show promising recovery momentum in coming months, says Stats Dept",1,1,1
Key indicators show promising recovery momentum in fourth quarter of 2021 into 2022,1,1,1
Key indicators show promising recovery momentum in Q4 and into 2022 - DoSM,1,1,1
Stats Dept foresees healthier economic growth for Malaysia in coming months,1,1,1
Malaysia's Statistics Dept foresees healthier economic in coming months,1,2,1
"Labuan, Kelantan, Kedah lead the magnitude of economic growth",1,1,1
"Stethoscope: Making the care economy equitable, sustainable and visible",1,1,1
Time to formalise gig economy workers to avoid labour exploitation,1,0,0
The country's cumulative investment in fixed assets increased 2.7 percent to RM5.17 trillion in 2020 - Statistics,1,1,1
The country's cumulative investment in fixed assets increased by RM5.17 trillion,1,1,1
The country's cumulative investment in fixed assets increased 2.7 percent to RM5.17 trillion in 2020 -- Statistics,1,1,1
Stats Dept: Accumulated fixed asset investment up 2.7pc to RM5. 17t In 2020,1,1,1
Accumulated fixed asset investment up 2.7 pct to RM5.17 trn in 2020 - DOSM,1,1,1
Accumulated fixed asset investment up 2.7 pct to RM5.17 TRN in 2020 -- DoSM,1,1,1
Cukai Makmur: impacts on the banks will be manageable,1,2,1
"Banks' profitability won't be hampered by one-off windfall tax, says Bank Negara governor",1,1,1
"Financial aid, moratorium granted to 187,690 affected entrepreneurs: Noh",1,1,0
"Banks' profitability won't be hampered by one-off windfall tax, says Bank Negara governor",1,1,1
"Cukai Makmur: Impacts on the banks will be manageable, says governor",1,2,1
"Banks' profitability won't be hampered by one-off windfall tax, says Bank Negara governor",1,1,1
Cukai Makmur: Impacts on the banks will be manageable - BNM Governor,1,2,1
"Financial aid, moratorium granted to 187,690 affected entrepreneurs - Noh",1,1,0
Experts: Budget is good start but implementation may be an issue,1,1,0
Plastics sector supports economic growth: MPMA,1,1,1
Experts: Budget is good start but implementation may be an issue,1,1,0
Experts: Budget is good start but implementation may be an issue,1,1,0
Budget 2022: Make sure the aid of the target group does not drop out - Expert,1,1,0
Experts: Budget is good start but implementation may be an issue,1,1,0
Budget is good start but implementation may be an issue,1,1,0
"Plastics sector supports Malaysia's economic growth, says MPMA",1,1,1
The plastic industry supports Malaysia's economic growth - MPMA,1,1,1
Self-employed deserve better social protection,1,1,1
Continue caring for the rakyat's well-being during the new normal By Amanda Yeo,1,1,1
Continue caring for the rakyat's well-being during the new normal,1,1,1
Statistics ensure food remains on every Malaysian's table: Mustapa,1,1,1
Statistics help ensure food remains on every table - Mustapa,1,1,1
Tok Pa: Statistical data helps Putrajaya ensure that no Malaysian goes hungry,1,1,0
Statistics help ensure that food remains on every Malaysians table - Mustapa,1,1,1
Mustapa: Statistics help ensure that food remains on every Malaysian's table,1,1,1
Tok Pa: Statistical data helps Putrajaya ensure that no Malaysian goes hungry,1,1,0
Statistics help ensure that food remains on every Malaysian's table -- Mustapa Mohamed,1,1,1
Statistics help ensure that food remains on every Malaysian's table - Mustapa,1,1,1
"Statistics help ensure that food remains on every Malaysian's table, says Mustapa",1,1,1
Statistics help ensure that food remains on every Malaysian's table - Mustapa Mohamed,1,1,1
The Ministry of Finance is expected to promise to establish a mechanism to monitor the distribution of allocations,1,1,1
"More opportunities under 12th Malaysia Plan, gig economy to benefit",1,1,1
"12MP should promote new forms of employment, innovative firms, start-ups for graduates, says economist",1,1,1
"12MP should promote new forms of employment, innovative firms, start-ups for graduates -- Economist",1,1,1
Continue caring for the rakyat's well-being during the new normal,1,1,1
ICT industry contributed 22.6% to GDP,1,2,1
ICT's contribution to the economy jumps to RM320 billion in 2020,1,2,1
The contribution of ICT to the Malaysian economy jumped to RM320 billion in 2020,1,2,1
"ICT industry up 10.4 pct to RM320 bln in 2020, contributes 22.6 pct to GDP",1,2,1
"Stats Dept: Malaysia's ICT industry valued at RM320b in 2020, contributed 22.6pc to GDP",1,1,1
The self-employed in Malaysia deserves better social protection,1,1,1
"ICT industry up 10.4 pct to RM320 bln in 2020, contributes 22.6 pct to GDP - DoSM",1,2,1
"ICT industry up 10.4 pct to RM320 bln in 2020, contributes 22.6 pct to GDP - DOSM",1,2,1
ICT sector grew by 10.4% to RM320 billion in 2020,1,2,0
Building sustainable communities for the present and future,1,2,1
Building sustainable communities for the present and future,1,2,1
Budget 2022: Help SMEs until they recover,1,1,0
"Budget 2022: Help SMEs until they fully recover, says HR expert",1,1,0
"Budget 2022: Help SMEs till they recover, says human resource expert",1,1,1
"Help SMEs to fully recover, say human resource experts",1,1,1
The government is asked to help SMEs fully recover,1,1,1
The self-employed deserves better social protection,1,1,1
DOSM data shows the informal economy has been projected to grow to 30% as of last year,1,2,1
Self Employed Need Better Social Protection Measures,1,1,0
"Govt should focus on SME cash flow in budget 2022, says SME Malaysia",1,2,1
"Govt should focus on SME cash flow in Budget 2022, says SME Malaysia",1,2,1
SMEs request cash flow support in the 2022 Budget,1,1,1
"Creative industry contributed RM29.4b to GDP in 2019, says deputy minister",1,1,1
Creative industry contributed RM29.4 bln to GDP in 2019,1,1,1
"Creative industry contributed RM29.4b to GDP in 2019, says deputy minister",1,1,1
Creative industry contributed RM29.4 bln to GDP in 2019,1,1,1
Expand FDI scope to drive recovery,1,1,1
Economists: 12MP should focus on digital economy,1,2,0
Need for govt to focus on digitalisation,1,2,0
"Digital economy key to making M'sia a high-income nation, experts say",1,2,1
Economists: 12MP should focus on digital economy to achieve high-income nation status,1,2,1
12MP should focus on digital economy to achieve high-income nation status,1,2,1
Economists:12MP should focus on digital economy to achieve high-income nation status,1,2,1
RMK-12: The digital economy is the main focus of achieving a high-income economy in 2024,1,2,1
RMK-12: The digital economy is the main focus of achieving a high-income economy in 2024,1,2,1
Economists: 12MP should focus on digital economy to achieve high-income nation status,1,2,1
Economists: 12MP should focus on digital economy to achieve high-income nation status,1,2,1
12MP should focus on digital economy to achieve high-income nation status - economists,1,2,0
RMK-12: The digital economy is the main focus of achieving a high-income economy in 2024,1,2,1
12MP should focus on digital economy to achieve high-income nation status: Economists,1,2,0
12MP should focus on digital economy to achieve high-income nation status -- Economists,1,2,0
Malaysia's August consumer price index still on downward path as pandemic drags on,1,0,0
"12MP should focus on digital economy, experts say",1,2,0
12MP should focus on digital economy to achieve high-income nation status,1,2,1
"SME Bank launches BEP, creating bumiputera exporters",1,1,1
"Stop repeating empty slogans, help small business owners survive, Gov't told",1,0,0
"Stop repeating empty slogans, help small business owners survive, Gov't told",1,0,0
Corruption is inhibiting a healthy SME environment,1,1,1
Corruption is inhibiting a healthy SME environment,1,1,1
Stats Dept: Foreign-controlled firms contributed RM241b to Malaysia's GDP in 2020,1,2,1
Stats Dept: Foreign-controlled firms contributed RM241b to Malaysia's GDP in 2020 | Money,1,2,1
Stats Dept: Foreign-controlled firms contributed RM241b to Malaysia's GDP in 2020,1,2,1
Stats Dept: Foreign-controlled firms contributed RM241b to Malaysia's GDP in 2020,1,2,1
"The economy is expected to be stronger, the unemployment rate decreased from last month",1,0,1
"'The economy is expected to be stronger, the unemployment rate will decrease from this month'",1,0,1
"The economy is expected to be stronger, the unemployment rate will decrease from Sept 2021",1,0,1
"The economy is expected to be stronger, the unemployment rate will decrease from Sept 2021 - Mustapa",1,0,1
"Stronger Economy, Lower Unemployment Rate",1,0,0
'Invest to strengthen healthcare system',1,1,1
"Reopening the economy fully by October crucial to save SMEs, lives and liveliood",1,1,1
My Say: Striving for societal well-being,1,2,1
"Niaga AWANI: National Day 2021 | Economic recovery, structural changes and RMK-12",1,2,1
Sabah must ramp up the vaccinations,1,2,0
July inflation eases to five-month low amid lockdown and cautious consumer spending,1,0,0
Ramp up vaccination for Sabah,1,2,0
Fitch Unit Cuts Malaysia's GDP Growth Forecast To Zero From 4.9% - Ringgit Falls To One-Year Low,1,0,0
National Recovery On Right Trajectory,1,2,1
DoSM: Malaysia’s economy grew 16pc in Q2 following initial dip in 2020,1,2,1
DoSM: Malaysia's economy grew 16pc in Q2 following initial dip in 2020,1,2,1
DoSM: Malaysia's economy grew 16pc in Q2 following initial dip in 2020,1,2,1
E-commerce continues to grow,1,2,1
"2Q21 GDP seen to grow double-digit y-o-y, but q-o-q contraction likely",1,2,1
Tackle rising youth unemployment,1,0,1
Fate of main businesses in the tourism industry still hangs in balance By YS Chan,1,2,1
Tackle rising youth unemployment,1,0,1
Per capita income to rise this year:DOSM,1,2,1
Per capita income to increase this year - DOSM,1,1,1
DOSM: Per capita income to increase this year,1,1,1
Per capita income to increase this year - DOSM,1,1,1
DOSM: Per capita income to increase this year,1,1,1
Need to help PKS continue to survive,1,1,0
Need to help PKS continue to survive,1,1,0
Graduates flexible despite underemployment,1,1,1
The contribution of SMEs to GDP contracted by 7.3 percent in 2020,1,2,1
The contribution of SMEs to GDP contracted by 7.3 percent in 2020,1,2,1
Statistics Dept: SMEs' contribution to Malaysia's GDP down by 7.3pc last year,1,2,1
SMEs' contribution to GDP down by 7.3 pct in 2020 - DOSM,1,2,1
SMEs' contribution to GDP down by 7.3 pct in 2020 - DOSM,1,2,1
Stats Dept: SMEs' contribution to GDP down by 7.3pc in 2020,1,2,1
Business gross opearting surplus decreased by 6.9 pct in 2020 - DOSM,1,0,1
Business gross opearting surplus decreased by 6.9 pct in 2020 - DOSM,1,0,1
Business gross opearting surplus decreased by 6.9 pct in 2020 - DOSM,1,0,1
Business gross operating surplus decreased by 6.9% in 2020 - DOSM,1,0,1
Business gross operating surplus decreased by 6.9 pct in 2020 - DoSM,1,0,1
Statistics Dept: Malaysia’s gross fixed capital formation shrunk 14.5pc to RM281.1b in 2020,1,0,2
Statistics Dept: Malaysia’s gross fixed capital formation shrunk 14.5pc to RM281.1b in 2020,1,0,2
DOSM: Malaysia’s Gross Fixed Capital Formation contracts 14.5 pct to RM281.1 bln in 2020,1,0,1
Statistics Dept: Malaysia’s gross fixed capital formation shrunk 14.5pc to RM281.1b in 2020,1,0,2
"Concerned about the plight of SMEs when the pandemic hits, various assistance is available to ensure the survival of the industry",1,1,1
RM100m govt aid for FCLO too little,1,2,0
"'New cabinet appointments won’t rock the boat, as long as people’s health, economy under control'",1,2,1
"New cabinet appointments won’t rock the boat, as long as people’s health, economy under control",1,2,1
"New cabinet appointments won’t rock the boat, as long as people’s health, economy under control",1,2,1
"New cabinet appointments won’t rock the boat, as long as people’s health, economy under control",1,2,1
"New cabinet appointments won’t rock the boat, as long as people’s health, economy under control",1,2,1
"New cabinet appointments won't rock the boat, as long as people's health, economy under control",1,2,1
CAP: Here's how the government can do more to prevent suicide,1,0,0
The government needs to include measures to prevent suicide in the MCO plan,1,0,0
CAP: Incorporate suicide prevention in MCO plans,1,0,1
The government needs to include measures to prevent suicide in the MCO plan,1,0,0
BOMBSHELL – THE MONEY BEHIND MUHYIDDIN’S HALF-BAKED MCOs REVEALED – ALL HE NEEDED TO DO WAS SPEND RM50 BIL TO KEEP PEOPLE HOME FOR 3 MONTHS – BUT HE CAME OUT WITH FLIP-FLOP LOCKDOWNS INSTEAD & ENDED UP SPENDING RM800 BIL ON DUBIOUS STIMULUS PACKAGES – WHILE THE ORDINARY PEOPLE GO HUNGRY FOR THE FIRST TIME IN MALAYSIA’S HISTORY & MANY EVEN RESORT TO KILLING THEMSELVES,1,0,0
Re-examine the 2021 GDP projections,1,2,1
Please continue to aid the rakyat with more packages,1,1,1
"Keep helping the rakyat, think tank tells Gov’t",1,1,0
"GDP projections will be revised, the Department of Statistics said",1,2,1
Stats Dept: Eight states record better growth performance in 2020,1,1,1
2021 GDP projections to be revised: Department of Statistics,1,2,1
Eight states with better growth track record: Statistics,1,1,1
The 2021 GDP projection will be reviewed - Department of Statistics,1,2,0
Stats Dept: Eight states record better growth performance in 2020,1,1,1
2021 GDP projections to be revised: Department of Statistics,1,2,1
2021 GDP projections to be revised: Department of Statistics,1,2,1
Eight states with better growth track record: Statistics,1,1,1
The 2021 GDP projection will be reviewed - Department of Statistics,1,2,0
Please Continue To Aid The Rakyat With More Packages,1,1,1
Eight states recorded better growth,1,1,1
Eight states have a better performance record than the 5.6 percent contraction of national GDP in 2020,1,1,1
Eight states have better economic performance records,1,1,1
Eight states have better economic performance records,1,1,1
Eight states have a better performance record than the 5.6 percent contraction of national GDP in 2020,1,1,1
2021 GDP Projections Will Be Reexamined,1,2,1
The 2021 GDP projection will be reviewed - Department of Statistics,1,2,0
Eight states recorded better GDP performance than the national - DOSM,1,1,1
"Penang govt urged to assist SMEs, with Usahawan suggesting measures",1,2,1
"Penang govt urged to assist SMEs, with Usahawan suggesting measures",1,2,1
Political uncertainty to affect recovery effort,1,0,1
"MCO 3.0: Penang Muslim Entrepreneurs Organisation calls for state govt to help SMEs, suggests measures",1,1,1
The government guarantees automatic moratorium approval to those who qualify,1,1,1
The government guarantees automatic moratorium approval to those who qualify,1,1,1
SMEs need to be assisted in the National Recovery Plan,1,2,1
"Increased investment May convince investors to stay, creates employment, says DOSM",1,1,0
"Statistics Dept: Malaysia's increased investment may convince investors to stay, creating employment",1,1,1
"Save SMEs, avoid mass unemployment",1,0,0
"Save SMEs, avoid mass unemployment",1,0,0
Maybank continues to help affected customers,1,1,1
Sabah leads in sustainable oil palm,1,2,1
Malaysia's economy to further improve in the second quarter - DOSM,1,1,1
Statistics Dept sees Malaysia's economy further improving in Q2,1,1,1
Sabah makes strides towards sustainable palm oil production,1,2,1
Sabah Makes Strides Towards Sustainable Palm Oil Production,1,2,1
Uneven recovery,1,2,1
Statistics Dept: Malaysia's job market recovered in Q1 2021 but still down from pre-pandemic times,1,2,1
Statistics Dept: Malaysia's job market recovered in Q1 2021 but still down from pre-pandemic times,1,2,1
Statistics Dept: Malaysia's job market recovered in Q1 2021 but still down from pre-pandemic times,1,2,1
The government managed to stabilize the country's economy,1,2,1
The government managed to stabilize the country's economy,1,2,1
The State of the Nation: GDP will rebound in 2Q but MCO 3.0 may temper strength of recovery,1,1,1
The Y-AP concept accelerates the process of strengthening the role of the nation's youth,1,1,1
MCO 3.0 is not expected to have a significant impact on economic growth - Tengku Zafrul,1,1,1
MCO 3.0 is not expected to have a significant impact on economic growth - Tengku Zafrul,1,1,1
