,No.,Date,Media,News_title,Sentiment(MaxEntropy),positive_word(VADER),negative_word(VADER),Year,Month,Day,Vader_Score,Sentiment(VADER),Sentiment(SparkNLP),Score(SparkNLP)
509,99,2021-06-21 00:00:00,Theedgemalaysia,The Week Ahead: Major APAC central bank policy decisions and inflation data in the spotlight,0,[],[],2021,June,21,0.0,2,1,0.9999999944350657
510,100,2021-06-17 00:00:00,Thesundaily,"Covid-19 exit plan, tipping into recession",0,[],"['recession', -0.4215]",2021,June,17,-0.421,0,1,0.9986192942
511,101,2021-06-17 00:00:00,Thesundaily,"Covid-19 exit plan, tipping into recession",0,[],"['recession', -0.4215]",2021,June,17,-0.421,0,1,0.9986192942
512,102,2021-06-16 00:00:00,i3investor,A look at the Covid-19 exit plan - Paolo Casadio and Geoffrey Williams,0,[],[],2021,June,16,0.0,2,1,0.9999999999992033
513,103,2021-06-16 00:00:00,The Malay Mail Online,A look at the Covid-19 exit plan - Paolo Casadio and Geoffrey Williams,0,[],[],2021,June,16,0.0,2,1,0.9999999999992033
514,104,2021-06-16 00:00:00,Malaysians Must Know The Truth,Covid-19 exit plan - tipping into a recession,0,[],"['recession', -0.4215]",2021,June,16,-0.421,0,1,0.9996733777
515,105,2021-06-15 00:00:00,Freemalaysiatoday,Covid-19 exit plan - tipping into a recession,0,[],"['recession', -0.4215]",2021,June,15,-0.421,0,1,0.9996733777
516,106,2021-06-09 00:00:00,New Malaysia Times,Malaysia's trade deficit in services hit a record of RM47.4 billion in 2020,0,[],"['deficit', -0.4019]",2021,June,09,-0.402,0,1,0.9999839890059999
517,107,2021-06-09 00:00:00,The Malay Mail Online,Stats Dept: Malaysia's trade deficit in services hit record RM47.4b in 2020,0,[],"['deficit', -0.4019]",2021,June,09,-0.402,0,1,0.9999999998505634
518,108,2021-06-08 00:00:00,Theedgemalaysia,"The Week Ahead: April unemployment, G7 meeting and Euro 2020 in focus",0,[],"['unemployment', -0.4404]",2021,June,08,-0.44,0,1,0.9662298300000001
519,109,2021-05-27 00:00:00,Freemalaysiatoday,"Baby births declined in the first quarter of the year, the Department of Statistics said",0,[],[],2021,May,27,0.0,2,0,-0.9057624599999999
520,110,2021-05-15 00:00:00,Ipoh Echo,"My Journey with AKPK, the Savior of the Financially Distressed",0,[],"['Distressed', -0.4215]",2021,May,15,-0.421,0,0,-0.9990477278400001
521,111,2021-05-11 22:50:39,Theedgemalaysia,MCO 3.0 not expected to have significant impact on economic growth,0,"['significant', 0.2023, 'growth', 0.3818]",[],2021,May,11,0.527,1,1,0.9999999999642624
522,112,2021-05-11 00:00:00,Bernama,MCO 3.0 not expected to have significant impact on economic growth,0,"['significant', 0.2023, 'growth', 0.3818]",[],2021,May,11,0.527,1,1,0.9999999999642624
523,113,2021-05-11 00:00:00,Malaysia Now,Finance minister: MCO 3.0 not expected to have significant impact on Malaysia's economic growth,0,"['significant', 0.2023, 'growth', 0.3818]",[],2021,May,11,0.527,1,1,0.9999999965280915
524,114,2021-05-11 00:00:00,The Malay Mail Online,Finance minister: MCO 3.0 not expected to have significant impact on Malaysia's economic growth,0,"['significant', 0.2023, 'growth', 0.3818]",[],2021,May,11,0.527,1,1,0.9999999965280915
525,115,2021-05-11 00:00:00,Thesundaily,MCO 3.0 not expected to have significant impact on economic growth,0,"['significant', 0.2023, 'growth', 0.3818]",[],2021,May,11,0.527,1,1,0.9999999999642624
526,116,2021-04-20 00:00:00,Bharian,"The issue of low wages for graduates needs an assessment, a holistic solution",0,[],[],2021,April,20,0.052,1,0,-0.9999999999652055
527,117,2021-04-19 00:00:00,Dailyexpress,"Most countries face financial problems, fiscal deficits: Mustapa",0,[],"['problems', -0.4019]",2021,April,19,-0.402,0,0,-0.99955312366
528,118,2021-04-18 00:00:00,Theedgemalaysia,"Most countries face financial problems, fiscal deficits, says Mustapa",0,[],"['problems', -0.4019]",2021,April,18,-0.402,0,0,-0.9995816865
529,119,2021-04-18 00:00:00,New Strait Times,"Most countries face financial problems, fiscal deficits - Mustapa",0,[],"['problems', -0.4019]",2021,April,18,-0.402,0,0,-0.99955312366
530,120,2021-03-29 00:00:00,New Strait Times,"Addressing joblessness, suicide",0,[],"['suicide', -0.6705]",2021,March,29,-0.67,0,0,-0.8110883200000001
531,121,2021-03-24 00:00:00,Focus Malaysia,The mismatch between wages and cost of living in Malaysia,0,[],[],2021,March,24,0.0,2,1,0.969042371
532,122,2021-03-22 00:00:00,Theedgemalaysia,The Week Ahead: Attention centred on February inflation rate,0,[],[],2021,March,22,0.0,2,1,0.9999998065488901
533,123,2021-03-11 00:00:00,Theedgemalaysia,Cover Story: More jobs at stake as borders remain closed,0,[],[],2021,March,11,0.0,2,0,-0.9999997804585901
534,124,2021-03-07 00:00:00,Harakahdaily,Combating fake news a major challenge for ministry,0,"['challenge', 0.0772]","['fake', -0.4767]",2021,March,07,-0.421,0,0,-0.9999990679784501
535,125,2021-03-06 00:00:00,Dialog Rakyat,A difficult year for the finance ministry,0,[],[],2021,March,06,-0.361,0,1,0.9999954540217
536,126,2021-03-06 00:00:00,Gemilang Daily,"The country's finances are getting worse, a difficult year for the Minister of Finance",0,[],[],2021,March,06,-0.681,0,0,-0.999975165591
537,127,2021-03-06 00:00:00,Kuala Lumpur Post,Covid-19: A difficult year for the finance ministry,0,[],[],2021,March,06,-0.361,0,0,-0.976754978
538,128,2021-03-06 00:00:00,Malaysia Kini Bm,A difficult year for the finance ministry,0,[],[],2021,March,06,-0.361,0,1,0.9999954540217
539,129,2021-02-28 00:00:00,Focus Malaysia,Digitalising SMEs inevitable but cybersecurity boost needed too,0,"['boost', 0.4019]",[],2021,February,28,0.55,1,1,0.99999975164399
540,130,2021-02-28 00:00:00,Dailyexpress,"Unregistered SMEs left out of govt aid, says trade group",0,[],[],2021,February,28,0.0,2,0,-0.9999994895900001
541,131,2021-02-28 00:00:00,Malaysians Must Know The Truth,"Micro SMEs from informal sector left out of govt aid, says group",0,[],[],2021,February,28,0.0,2,1,0.99988060827
542,132,2021-02-28 00:00:00,Selangor Journal,Industries Unite: Unregistered SMEs being left out of govt aid,0,[],[],2021,February,28,0.0,2,1,0.999982864919
543,133,2021-02-28 00:00:00,Freemalaysiatoday,"Micro SMEs from informal sector left out of govt aid, says group",0,[],[],2021,February,28,0.0,2,1,0.99988060827
544,134,2021-02-28 00:00:00,The Malay Mail Online,Industries Unite: Unregistered SMEs being left out of govt aid,0,[],[],2021,February,28,0.0,2,1,0.999982864919
545,135,2021-02-28 00:00:00,Thesundaily,Industries Unite: Unregistered SMEs being left out of government aid,0,[],[],2021,February,28,0.0,2,1,0.999915646558
546,136,2021-02-28 00:00:00,Freemalaysiatoday,"Unregistered SMEs drop out of government aid, says the association",0,[],[],2021,February,28,-0.273,0,0,-0.86405827
547,137,2021-02-28 00:00:00,Bernama,Unregistered SMEs drop out of government aid - Industries Unite,0,[],[],2021,February,28,-0.273,0,1,0.9999999972735836
548,138,2021-02-28 00:00:00,Bernama,Industries unite: Unregistered SMEs being left out of govt aid,0,[],[],2021,February,28,0.0,2,1,0.999982864919
549,139,2021-02-28 00:00:00,Theedgemalaysia,Unregistered micro SMEs being left out of government aid - Industries Unite,0,[],[],2021,February,28,0.0,2,1,0.9948413537
550,140,2021-02-28 00:00:00,Malaysia News Portal,Industries Unite: Unregistered SMEs being left out of govt aid | Money,0,[],[],2021,February,28,0.0,2,1,0.999979528684
551,141,2021-02-25 00:00:00,The Malay Mail Online,Stats Dept urges businesses to pursue digitalisation even with rollout of vaccine programme,0,[],[],2021,February,25,0.0,2,1,0.999999968704063
552,142,2021-02-25 00:00:00,Theborneopost,Businesses urged to pursue digitalisation even with rollout of vaccination programme,0,[],[],2021,February,25,0.0,2,0,-0.999941074245
553,143,2021-02-24 00:00:00,Theedgemalaysia,"Malaysia's Jan CPI records lowest deflation since March last year, falling by 0.2% y-o-y",0,[],"['lowest', -0.3818, 'falling', -0.1531]",2021,February,24,-0.494,0,1,0.99999974889774
554,144,2021-02-17 00:00:00,Bharian,Various phases of MCO affected worker productivity last year,0,[],[],2021,February,17,-0.153,0,1,0.9999999999817195
555,145,2021-02-17 00:00:00,Selangor Journal,Labour productivity declines in fourth quarter 2020 during CMCO - DoSM,0,[],[],2021,February,17,0.0,2,0,-0.999999999951545
556,146,2021-02-15 00:00:00,Thesundaily,Malaysia's FDI decline not unusual under prevailing circumstances,0,[],[],2021,February,15,0.0,2,1,0.9998473690799999
557,147,2021-02-14 00:00:00,Malaysians Must Know The Truth,Govt told to be 'honest' amid concerns economic damage downplayed,0,"[""'honest"", 0.5106]","['damage', -0.4939]",2021,February,14,-0.494,0,0,-0.999999956609688
558,148,2021-02-14 00:00:00,News Yahoo Malaysia,Govt told to be 'honest' amid concerns economic damage downplayed,0,"[""'honest"", 0.5106]","['damage', -0.4939]",2021,February,14,-0.494,0,0,-0.999999956609688
559,149,2021-02-11 00:00:00,The Malay Mail Online,"Malaysia's 2020 GDP shrunk 5.6pc, biggest fall since 1998 Asian Financial Crisis",0,[],"['Crisis', -0.6249]",2021,February,11,-0.625,0,0,-0.984233045
560,150,2021-02-11 00:00:00,News Yahoo Malaysia,"Malaysia's 2020 GDP shrunk 5.6pc, biggest fall since 1998 Asian Financial Crisis",0,[],"['Crisis', -0.6249]",2021,February,11,-0.625,0,0,-0.984233045
561,151,2021-02-11 00:00:00,News Yahoo Malaysia,Malaysian economy shrank 5.6 pct in 2020,0,[],[],2021,February,11,0.0,2,1,0.9999999998658015
562,152,2021-02-11 00:00:00,Malaysians Must Know The Truth,Malaysian economy shrank 5.6 pct in 2020,0,[],[],2021,February,11,0.0,2,1,0.9999999998658015
563,153,2021-02-11 00:00:00,The Malay Mail Online,"Malaysia's GDP in 2020 dropped 5.6pc, biggest fall since 1998 Asian Financial Crisis",0,[],"['Crisis', -0.6249]",2021,February,11,-0.625,0,0,-0.99995276016
564,154,2021-02-11 00:00:00,Malaysia Now,"Malaysia's GDP in 2020 dropped 5.6pc, biggest fall since 1998 Asian Financial Crisis",0,[],"['Crisis', -0.6249]",2021,February,11,-0.625,0,0,-0.99995276016
565,155,2021-02-09 00:00:00,Theedgemalaysia,Movement restrictions weigh on private consumption,0,[],[],2021,February,09,0.0,2,0,-0.9949556718
566,156,2021-02-09 00:00:00,Freemalaysiatoday,More people are unemployed for longer periods,0,[],[],2021,February,09,0.0,2,0,-0.99952737473
567,157,2021-02-09 00:00:00,Malaysia Dateline Amanah,Rising unemployment reveals the weakness of the PN government,0,[],[],2021,February,09,-0.691,0,0,-0.9885861536
568,158,2021-02-09 00:00:00,Mykmu,More people are unemployed for longer periods,0,[],[],2021,February,09,0.0,2,0,-0.99952737473
569,159,2021-01-27 00:00:00,Perak Insights,PKP2.0: The tourism industry and SMEs are most directly affected,0,[],[],2021,January,27,-0.221,0,1,0.999999999998774
570,160,2021-01-27 00:00:00,Dialog Rakyat,"Tourism, SMEs bear the burden of MCO 2.0",0,[],[],2021,January,27,-0.44,0,1,0.999999999999373
571,161,2021-01-27 00:00:00,Freemalaysiatoday,"Tourism, SMEs bear the burden of MCO 2.0",0,[],[],2021,January,27,-0.44,0,1,0.999999999999373
572,162,2021-01-15 00:00:00,Focus Malaysia,Bad loans in the housing sector - ticking time-bomb,0,[],"['Bad', -0.5423]",2021,January,15,-0.542,0,0,-0.9999990434875801
573,163,2021-01-14 00:00:00,The Coverage Bureau,The Cost of MCO 2.0 : Malaysia Loses RM2.4 Billion A Day Throughout MCO - 40% of The Country SMEs Will Be Gone - The Coverage,0,[],"['Loses', -0.3182]",2021,January,14,-0.318,0,0,-0.999968826548
574,164,2021-01-12 00:00:00,Cari,"Study, Many Companies Will Close If The MCO Is More Than Two Months",0,[],[],2021,January,12,0.0,2,1,0.99999979460996
575,165,2021-01-12 00:00:00,Malaysia Chronicle,"MUHYIDDIN PUSHES MALAYSIA INTO THE HELLFIRES OF ECONOMIC CHAOS & DEATH - ALREADY BUSINESSES WARN OF SLUGGISH GROWTH, JOB LOSSES IF MCO PROLONGED - YET MUHYIDDIN IMPOSES EMERGENCY RULE UNTIL AUGUST 1",0,"['GROWTH', 0.3818]","['CHAOS', -0.5719, 'DEATH', -0.5994, 'WARN', -0.1027, 'SLUGGISH', -0.4019, 'LOSSES', -0.4019, 'IMPOSES', -0.1027, 'EMERGENCY', -0.3818]",2021,January,12,-0.93,0,1,0.991578001
576,166,2021-01-11 00:00:00,Bharian,Many companies will close if the MCO is more than two months,0,[],[],2021,January,11,0.0,2,1,0.9999999967214914
577,1,2021-12-24 00:00:00,Theborneopost,October's positive key indicators signals economic recovery,1,"['positive', 0.5574]",[],2021,December,24,0.557,1,1,0.9999999999952898
578,2,2021-12-24 00:00:00,Selangor Journal,October's positive key indicators signals economic recovery,1,"['positive', 0.5574]",[],2021,December,24,0.557,1,1,0.9999999999952898
579,3,2021-12-23 00:00:00,Mymetro,APPROVAL SEVEN TO 14 DAYS,1,[],[],2021,December,23,0.59,1,1,1.0
580,4,2021-12-22 00:00:00,Freemalaysiatoday,"Unemployment is low, but the pressures of life drive a skills mismatch",1,[],[],2021,December,22,-0.665,0,0,-0.9999997896865
581,5,2021-12-15 00:00:00,Selangor Journal,Power sector boosted by better demand for electricity,1,"['boosted', 0.3612, 'better', 0.4404]","['demand', -0.128]",2021,December,15,0.599,1,1,0.9999999532684
582,6,2021-12-15 00:00:00,Bernama,Power sector boosted by better demand for electricity,1,"['boosted', 0.3612, 'better', 0.4404]","['demand', -0.128]",2021,December,15,0.599,1,1,0.9999999532684
583,7,2021-12-12 00:00:00,Theborneopost,E-commerce continues to flourish in 2021,1,[],[],2021,December,12,0.0,2,1,0.9999999994817353
584,8,2021-12-10 00:00:00,Money Compass,E-commerce continues to flourish in 2021,1,[],[],2021,December,10,0.0,2,1,0.9999999994817353
585,9,2021-12-09 00:00:00,Bernama,E-commerce continues to flourish in 2021,1,[],[],2021,December,09,0.0,2,1,0.9999999994817353
586,10,2021-12-06 00:00:00,Bernama,An influx of aid for SMEs to continue their survival as they move into the Endemic Phase,1,[],[],2021,December,06,0.0,2,1,0.999999999999931
587,11,2021-12-06 00:00:00,Bernama,Abundance of aid for SMEs to remain resilient as Malaysia moves towards Endemic Phase,1,[],[],2021,December,06,0.0,2,1,0.9999999997152426
588,12,2021-12-03 00:00:00,Theedgemalaysia,"Malaysia achieved good performance for Sustainable Development Goals in 2020 despite Covid-19, says Mustapa",1,"['good', 0.4404]",[],2021,December,03,0.44,1,1,0.9999999999295532
589,13,2021-12-03 00:00:00,i3investor,"Sustainable development goals: Despite Covid-19, Malaysia achieved good performance in 2020, says Tok Pa",1,"['good', 0.4404]",[],2021,December,03,0.44,1,1,0.9999997534307
590,14,2021-12-03 00:00:00,The Malay Mail Online,"Sustainable development goals: Despite Covid-19, Malaysia achieved good performance in 2020, says Tok Pa",1,"['good', 0.4404]",[],2021,December,03,0.44,1,1,0.9999997534307
591,15,2021-12-03 00:00:00,Bernama,Malaysia achieves good performance for SDGs in 2020 despite COVID-19 -- Mustapa,1,"['good', 0.4404]",[],2021,December,03,0.44,1,1,0.9999998060730151
592,16,2021-12-03 00:00:00,Thesundaily,M'sia achieves good performance for SDGs in 2020 despite Covid-19,1,"['good', 0.4404]",[],2021,December,03,0.44,1,1,0.9999999970737936
593,17,2021-12-03 00:00:00,i3investor,Positive growth for ICT industry despite Covid-19 (Bername),1,"['Positive', 0.5574, 'growth', 0.3818]",[],2021,December,03,0.735,1,1,0.9999256134000001
594,18,2021-12-02 00:00:00,Astro Awani,DOSM launches initiative as reference on current economic situation,1,[],[],2021,December,02,0.0,2,1,0.9999999999989327
595,19,2021-12-02 00:00:00,Bernama,DoSM launches initiative as reference on current economic situation,1,[],[],2021,December,02,0.0,2,1,0.9999999999989327
596,20,2021-12-02 00:00:00,Selangor Journal,DOSM launches initiative as reference on current economic situation,1,[],[],2021,December,02,0.0,2,1,0.9999999999989327
597,21,2021-12-02 00:00:00,Theedgemalaysia,DOSM launches initiative as reference for current economic situation,1,[],[],2021,December,02,0.0,2,1,0.99999999999999
598,22,2021-11-29 00:00:00,Freemalaysiatoday,"RM33 million to stimulate the retail industry is the right step, experts say",1,[],[],2021,November,29,0.226,1,1,0.38628465
599,23,2021-11-27 00:00:00,Thesundaily,Tengku Zafrul defends budget 2022; it's for 'Malaysian Family',1,[],[],2021,November,27,0.0,2,0,-0.99999983256169
600,24,2021-11-26 00:00:00,Astro Awani,Malaysia's main economic indicators show encouraging recovery momentum,1,[],[],2021,November,26,0.527,1,1,0.9999999999998862
601,25,2021-11-26 00:00:00,Astro Awani,Key indicators show promising recovery momentum in Q4 and into 2022 - DOSM,1,"['promising', 0.4019]",[],2021,November,26,0.402,1,1,0.9999999997684378
602,26,2021-11-26 00:00:00,Bernama,Malaysia's main economic indicators show encouraging recovery momentum,1,[],[],2021,November,26,0.527,1,1,0.9999999999998862
603,27,2021-11-26 00:00:00,Theborneopost,"Key indicators show promising recovery momentum in coming months, says Stats Dept",1,"['promising', 0.4019]",[],2021,November,26,0.402,1,1,0.9999999999997669
604,28,2021-11-26 00:00:00,Selangor Journal,Key indicators show promising recovery momentum in fourth quarter of 2021 into 2022,1,"['promising', 0.4019]",[],2021,November,26,0.402,1,1,0.999999996329603
605,29,2021-11-26 00:00:00,Bernama,Key indicators show promising recovery momentum in Q4 and into 2022 - DoSM,1,"['promising', 0.4019]",[],2021,November,26,0.402,1,1,0.9999999997684378
606,30,2021-11-26 00:00:00,The Malay Mail Online,Stats Dept foresees healthier economic growth for Malaysia in coming months,1,"['growth', 0.3818]",[],2021,November,26,0.382,1,1,0.9999999998729865
607,31,2021-11-26 00:00:00,News Yahoo Malaysia,Malaysia's Statistics Dept foresees healthier economic in coming months,1,[],[],2021,November,26,0.0,2,1,0.9999997676197601
608,32,2021-11-24 00:00:00,Harakahdaily,"Labuan, Kelantan, Kedah lead the magnitude of economic growth",1,[],[],2021,November,24,0.382,1,1,0.999999793523736
609,33,2021-11-19 00:00:00,Theedgemalaysia,"Stethoscope: Making the care economy equitable, sustainable and visible",1,"['care', 0.4939]",[],2021,November,19,0.494,1,1,0.9999999999998352
610,34,2021-11-18 00:00:00,The Malaysian Reserve,Time to formalise gig economy workers to avoid labour exploitation,1,[],"['avoid', -0.296]",2021,November,18,-0.296,0,0,-0.9998970460600001
611,35,2021-11-16 00:00:00,Astro Awani,The country's cumulative investment in fixed assets increased 2.7 percent to RM5.17 trillion in 2020 - Statistics,1,[],[],2021,November,16,0.421,1,1,0.9999988042139
612,36,2021-11-16 00:00:00,Sinarharian,The country's cumulative investment in fixed assets increased by RM5.17 trillion,1,[],[],2021,November,16,0.421,1,1,0.99999983586949
613,37,2021-11-16 00:00:00,Bernama,The country's cumulative investment in fixed assets increased 2.7 percent to RM5.17 trillion in 2020 -- Statistics,1,[],[],2021,November,16,0.421,1,1,0.9999988042139
614,38,2021-11-16 00:00:00,The Malay Mail Online,Stats Dept: Accumulated fixed asset investment up 2.7pc to RM5. 17t In 2020,1,"['asset', 0.3612]",[],2021,November,16,0.361,1,1,0.9999999999999878
615,39,2021-11-16 00:00:00,Selangor Journal,Accumulated fixed asset investment up 2.7 pct to RM5.17 trn in 2020 - DOSM,1,"['asset', 0.3612]",[],2021,November,16,0.361,1,1,0.9999999999517446
616,40,2021-11-16 00:00:00,Bernama,Accumulated fixed asset investment up 2.7 pct to RM5.17 TRN in 2020 -- DoSM,1,"['asset', 0.3612]",[],2021,November,16,0.361,1,1,0.9999999999517446
617,41,2021-11-12 00:00:00,Thesundaily,Cukai Makmur: impacts on the banks will be manageable,1,[],[],2021,November,12,0.0,2,1,0.9999999999962927
618,42,2021-11-12 00:00:00,i3investor,"Banks' profitability won't be hampered by one-off windfall tax, says Bank Negara governor",1,"['profitability', 0.2732]",[],2021,November,12,0.273,1,1,0.9999997393523801
619,43,2021-11-12 00:00:00,Dailyexpress,"Financial aid, moratorium granted to 187,690 affected entrepreneurs: Noh",1,"['granted', 0.25]","['affected', -0.1531]",2021,November,12,0.103,1,0,-0.99849412285
620,44,2021-11-12 00:00:00,Malaysia Now,"Banks' profitability won't be hampered by one-off windfall tax, says Bank Negara governor",1,"['profitability', 0.2732]",[],2021,November,12,0.273,1,1,0.9999997393523801
621,45,2021-11-12 00:00:00,Bernama,"Cukai Makmur: Impacts on the banks will be manageable, says governor",1,[],[],2021,November,12,0.0,2,1,0.9999999996070075
622,46,2021-11-12 00:00:00,The Malay Mail Online,"Banks' profitability won't be hampered by one-off windfall tax, says Bank Negara governor",1,"['profitability', 0.2732]",[],2021,November,12,0.273,1,1,0.9999997393523801
623,47,2021-11-12 00:00:00,Theborneopost,Cukai Makmur: Impacts on the banks will be manageable - BNM Governor,1,[],[],2021,November,12,0.0,2,1,0.9999999997853435
624,48,2021-11-11 00:00:00,Thesundaily,"Financial aid, moratorium granted to 187,690 affected entrepreneurs - Noh",1,"['granted', 0.25]","['affected', -0.1531]",2021,November,11,0.103,1,0,-0.99849412285
625,49,2021-11-03 00:00:00,i3investor,Experts: Budget is good start but implementation may be an issue,1,"['good', 0.4404]",[],2021,November,03,0.238,1,0,-0.9999999999995891
626,50,2021-11-03 00:00:00,Dailyexpress,Plastics sector supports economic growth: MPMA,1,"['supports', 0.3612, 'growth', 0.3818]",[],2021,November,03,0.625,1,1,0.9999999999952357
627,51,2021-11-03 00:00:00,Astro Awani,Experts: Budget is good start but implementation may be an issue,1,"['good', 0.4404]",[],2021,November,03,0.238,1,0,-0.9999999999995891
628,52,2021-11-03 00:00:00,The Star,Experts: Budget is good start but implementation may be an issue,1,"['good', 0.4404]",[],2021,November,03,0.238,1,0,-0.9999999999995891
629,53,2021-11-03 00:00:00,Sinarharian,Budget 2022: Make sure the aid of the target group does not drop out - Expert,1,[],[],2021,November,03,0.479,1,0,-0.9999999999944618
630,54,2021-11-03 00:00:00,Selangor Journal,Experts: Budget is good start but implementation may be an issue,1,"['good', 0.4404]",[],2021,November,03,0.238,1,0,-0.9999999999995891
631,55,2021-11-03 00:00:00,Harakahdaily,Budget is good start but implementation may be an issue,1,"['good', 0.4404]",[],2021,November,03,0.238,1,0,-0.9999997367889301
632,56,2021-11-02 00:00:00,Theedgemalaysia,"Plastics sector supports Malaysia's economic growth, says MPMA",1,"['supports', 0.3612, 'growth', 0.3818]",[],2021,November,02,0.625,1,1,0.999999990765615
633,57,2021-11-02 00:00:00,Bernama,The plastic industry supports Malaysia's economic growth - MPMA,1,[],[],2021,November,02,0.625,1,1,0.9999999999562204
634,58,2021-10-31 00:00:00,Dailyexpress,Self-employed deserve better social protection,1,"['better', 0.4404]",[],2021,October,31,0.44,1,1,0.9948142362
635,59,2021-10-23 00:00:00,i3investor,Continue caring for the rakyat's well-being during the new normal By Amanda Yeo,1,"['caring', 0.4939]",[],2021,October,23,0.494,1,1,0.9999999999622357
636,60,2021-10-23 00:00:00,Focus Malaysia,Continue caring for the rakyat's well-being during the new normal,1,"['caring', 0.4939]",[],2021,October,23,0.494,1,1,0.9999999999995808
637,61,2021-10-21 00:00:00,Dailyexpress,Statistics ensure food remains on every Malaysian's table: Mustapa,1,"['ensure', 0.3818]",[],2021,October,21,0.382,1,1,0.9999995030747401
638,62,2021-10-20 00:00:00,Malaysians Must Know The Truth,Statistics help ensure food remains on every table - Mustapa,1,"['help', 0.4019, 'ensure', 0.3818]",[],2021,October,20,0.649,1,1,0.999893638482
639,63,2021-10-20 00:00:00,i3investor,Tok Pa: Statistical data helps Putrajaya ensure that no Malaysian goes hungry,1,"['helps', 0.3818, 'ensure', 0.3818]","['no', -0.296]",2021,October,20,0.459,1,0,-0.904917053
640,64,2021-10-20 00:00:00,Astro Awani,Statistics help ensure that food remains on every Malaysians table - Mustapa,1,"['help', 0.4019, 'ensure', 0.3818]",[],2021,October,20,0.649,1,1,0.9999999964033262
641,65,2021-10-20 00:00:00,The Leaders Online,Mustapa: Statistics help ensure that food remains on every Malaysian's table,1,"['help', 0.4019, 'ensure', 0.3818]",[],2021,October,20,0.649,1,1,0.999999999634312
642,66,2021-10-20 00:00:00,The Malay Mail Online,Tok Pa: Statistical data helps Putrajaya ensure that no Malaysian goes hungry,1,"['helps', 0.3818, 'ensure', 0.3818]","['no', -0.296]",2021,October,20,0.459,1,0,-0.904917053
643,67,2021-10-20 00:00:00,Bernama,Statistics help ensure that food remains on every Malaysian's table -- Mustapa Mohamed,1,"['help', 0.4019, 'ensure', 0.3818]",[],2021,October,20,0.649,1,1,0.99999907411987
644,68,2021-10-20 00:00:00,Theborneopost,Statistics help ensure that food remains on every Malaysian's table - Mustapa,1,"['help', 0.4019, 'ensure', 0.3818]",[],2021,October,20,0.649,1,1,0.9999999964033262
645,69,2021-10-20 00:00:00,Theedgemalaysia,"Statistics help ensure that food remains on every Malaysian's table, says Mustapa",1,"['help', 0.4019, 'ensure', 0.3818]",[],2021,October,20,0.649,1,1,0.9999244610520001
646,70,2021-10-20 00:00:00,Thesundaily,Statistics help ensure that food remains on every Malaysian's table - Mustapa Mohamed,1,"['help', 0.4019, 'ensure', 0.3818]",[],2021,October,20,0.649,1,1,0.99999907411987
647,71,2021-10-20 00:00:00,Borneonews.Net,The Ministry of Finance is expected to promise to establish a mechanism to monitor the distribution of allocations,1,[],[],2021,October,20,0.318,1,1,0.9999999999999214
648,72,2021-10-17 00:00:00,i3investor,"More opportunities under 12th Malaysia Plan, gig economy to benefit",1,"['opportunities', 0.3818, 'benefit', 0.4588]",[],2021,October,17,0.709,1,1,0.9999999999999833
649,73,2021-10-17 00:00:00,Theedgemalaysia,"12MP should promote new forms of employment, innovative firms, start-ups for graduates, says economist",1,"['promote', 0.3818, 'innovative', 0.4404]",[],2021,October,17,0.67,1,1,0.9999968887032
650,74,2021-10-17 00:00:00,Bernama,"12MP should promote new forms of employment, innovative firms, start-ups for graduates -- Economist",1,"['promote', 0.3818, 'innovative', 0.4404]",[],2021,October,17,0.67,1,1,0.999999999351538
651,75,2021-10-16 00:00:00,Astro Awani,Continue caring for the rakyat's well-being during the new normal,1,"['caring', 0.4939]",[],2021,October,16,0.494,1,1,0.9999999999995808
652,76,2021-10-15 00:00:00,i3investor,ICT industry contributed 22.6% to GDP,1,[],[],2021,October,15,0.0,2,1,0.999999999911243
653,77,2021-10-15 00:00:00,Utusan Borneo,ICT's contribution to the economy jumps to RM320 billion in 2020,1,[],[],2021,October,15,0.0,2,1,0.999905080135
654,78,2021-10-15 00:00:00,Bernama,The contribution of ICT to the Malaysian economy jumped to RM320 billion in 2020,1,[],[],2021,October,15,0.0,2,1,0.9036206529999999
655,79,2021-10-15 00:00:00,Selangor Journal,"ICT industry up 10.4 pct to RM320 bln in 2020, contributes 22.6 pct to GDP",1,[],[],2021,October,15,0.0,2,1,0.9999999999996676
656,80,2021-10-15 00:00:00,The Malay Mail Online,"Stats Dept: Malaysia's ICT industry valued at RM320b in 2020, contributed 22.6pc to GDP",1,"['valued', 0.4404]",[],2021,October,15,0.44,1,1,0.9999999999990871
657,81,2021-10-15 00:00:00,Focus Malaysia,The self-employed in Malaysia deserves better social protection,1,"['better', 0.4404]",[],2021,October,15,0.44,1,1,0.9999999999840881
658,82,2021-10-15 00:00:00,Bernama,"ICT industry up 10.4 pct to RM320 bln in 2020, contributes 22.6 pct to GDP - DoSM",1,[],[],2021,October,15,0.0,2,1,0.99999999989808
659,83,2021-10-15 00:00:00,Thesundaily,"ICT industry up 10.4 pct to RM320 bln in 2020, contributes 22.6 pct to GDP - DOSM",1,[],[],2021,October,15,0.0,2,1,0.99999999989808
660,84,2021-10-15 00:00:00,Freemalaysiatoday,ICT sector grew by 10.4% to RM320 billion in 2020,1,[],[],2021,October,15,0.0,2,0,-0.99969586032
